history_id,car_id,start_date,end_date
508,27,2022-08-01 0:00:00,2022-08-02 0:00:00
576,27,2022-08-24 0:00:00,2022-09-23 0:00:00
521,27,2022-08-05 0:00:00,2022-08-06 0:00:00
660,27,2022-09-25 0:00:00,2022-12-24 0:00:00
512,27,2022-08-03 0:00:00,2022-08-04 0:00:00
513,28,2022-08-03 0:00:00,2022-08-03 0:00:00
579,28,2022-08-25 0:00:00,2022-09-08 0:00:00
620,28,2022-09-13 0:00:00,2022-12-22 0:00:00
529,28,2022-08-07 0:00:00,2022-08-21 0:00:00
614,28,2022-09-11 0:00:00,2022-09-12 0:00:00
510,29,2022-08-02 0:00:00,2022-08-05 0:00:00
530,29,2022-08-07 0:00:00,2022-08-11 0:00:00
549,29,2022-08-13 0:00:00,2022-08-13 0:00:00
569,29,2022-08-21 0:00:00,2022-11-29 0:00:00
716,30,2022-10-27 0:00:00,2022-10-27 0:00:00
